id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406454170559795204,1406445789417594884,2021-06-20 13:29:39 AEST,2021-06-20,13:29:39,+1000,23907461,msdugibbley,Gibbsy,,@Bukumbooee Thank you! I’m not anti vax either but I beat breast cancer 21 years ago and I don’t see why I should take the risk of the AZ. Haven’t lived this long to throw away my last hurrah unnecessarily. We’re not the only one- lots of older people really angry.,en,[],[],[],1,1,3,[],[],https://twitter.com/MsDugibbley/status/1406454170559795204,False,,0,,,,,,,,"[{'screen_name': 'Bukumbooee', 'name': 'Larvey - LNP product dump #AstraZeneca on #elders.', 'id': '337688338'}]",,,,
1406181878986543105,1406163293425651712,2021-06-19 19:27:40 AEST,2021-06-19,19:27:40,+1000,56575612,juliettebrod101,Postcards from the burbs....,,"@DrKate_Miller PS: Pushing AZ, when there was an alternative,  in this aggressive almost thuggish manner has broken all the brilliant principles of vax communications that Julie Leask has spent a career developing &amp; done nothing more than corrode trust, kicking an own goal for the anti vaxers.",en,[],[],[],1,1,7,[],[],https://twitter.com/JulietteBrod101/status/1406181878986543105,False,,0,,,,,,,,"[{'screen_name': 'DrKate_Miller', 'name': 'Dr Kate Miller 🏳️\u200d🌈', 'id': '1123536127908966400'}]",,,,
1406171614811607045,1406171614811607045,2021-06-19 18:46:53 AEST,2021-06-19,18:46:53,+1000,2286268526,shamimisaimis,Mimi.,,Can i put i'm vaccinated in my resume? Flexing to HR I'm not an anti vax.,en,[],[],[],0,0,0,[],[],https://twitter.com/shamimisaimis/status/1406171614811607045,False,,0,,,,,,,,[],,,,
1405654975011704836,1405647510127792131,2021-06-18 08:33:56 AEST,2021-06-18,08:33:56,+1000,800151437216878595,omgiamover30,Laura Gifford,,"@discoball2000 Anti vax uncle noted in Jan that even with vax ""There'll still be lockdowns"" and I countered it by saying ""That's not true! Get vax and there won't be!"". But 6 months on we're still here, It's a real problem with vax messaging. They need to use ""normal"" as an incentive.",en,[],[],[],1,0,4,[],[],https://twitter.com/OmgIAmOver30/status/1405654975011704836,False,,0,,,,,,,,"[{'screen_name': 'discoball2000', 'name': 'AstraShauneca', 'id': '793964025490984961'}]",,,,
1405362181516849156,1405065114835881986,2021-06-17 13:10:29 AEST,2021-06-17,13:10:29,+1000,124014072,dbinsydney,David,,"@HiddenPinky @RagToo @LBC @NickFerrariLBC “Covid vax has been fully tested.” Er… not possible given the time constraints.  Ivermectin’s an effective anti-viral, possibly preventative in the right dosage.  Some people end up in ICUs &amp; on ventilators. Those people recover as Ivermectin’s a strong anti-inflammatory.",en,[],[],[],2,0,0,[],[],https://twitter.com/DBinSydney/status/1405362181516849156,False,,0,,,,,,,,"[{'screen_name': 'HiddenPinky', 'name': 'Lord Pinky', 'id': '835553228'}, {'screen_name': 'RagToo', 'name': 'Tony Esq 🇯🇲🇬🇧', 'id': '2756928227'}, {'screen_name': 'LBC', 'name': 'LBC', 'id': '20973388'}, {'screen_name': 'NickFerrariLBC', 'name': 'Nick Ferrari', 'id': '492014042'}]",,,,
1405296578177298434,1405283363024343040,2021-06-17 08:49:48 AEST,2021-06-17,08:49:48,+1000,16883288,rhythmnation,👾 luke mcavenna 🌝,,@maureenchuck1 Lolz. And then there’s the anti vax folk that are totes cool with snorting god knows what off a toilet seat in a pub or bar. Lol.,en,[],[],[],0,0,0,[],[],https://twitter.com/rhythmnation/status/1405296578177298434,False,,0,,,,,,,,"[{'screen_name': 'maureenchuck1', 'name': 'IrmaGherd (Retired Nurse Thug)✳💉', 'id': '226440623'}]",,,,
1404989191470022657,1404666807726661633,2021-06-16 12:28:21 AEST,2021-06-16,12:28:21,+1000,1304730610577993732,electricsexmac1,electric_sex_machine,,@mcbridesride You should be used to the “You’re not from around here” comment by now. Trouble is so are so many of the so called locals who tout the anti vax conspiracy 😜,en,[],[],[],2,0,1,[],[],https://twitter.com/electricsexmac1/status/1404989191470022657,False,,0,,,,,,,,"[{'screen_name': 'mcbridesride', 'name': 'cmb_au', 'id': '20431672'}]",,,,
1404617467599622145,1404532118064025601,2021-06-15 11:51:15 AEST,2021-06-15,11:51:15,+1000,7871522,tonysmith,TonySmith,,@joanne_fletch @alan22193610 @BernardSheppard @normanswan @TGAgovau Yep after my second AZ vax in 10 weeks time I still have a 4 in 10 chance of getting the delta variant and  a 1 in 120 chance of dying. I am not antivax I just want one that gives me  better protection. #pfizerforall,en,[],[],[],1,0,3,['pfizerforall'],[],https://twitter.com/TonySmith/status/1404617467599622145,False,,0,,,,,,,,"[{'screen_name': 'joanne_fletch', 'name': 'Jo - Sick of rorting and corruption', 'id': '1672375038'}, {'screen_name': 'alan22193610', 'name': 'Alan Dowling', 'id': '2944952702'}, {'screen_name': 'BernardSheppard', 'name': 'Bernard Sheppard', 'id': '70925083'}, {'screen_name': 'normanswan', 'name': 'Norman Swan', 'id': '246178914'}, {'screen_name': 'TGAgovau', 'name': 'TGA Australia', 'id': '3800463014'}]",,,,
1404472952737861633,1404438818783105036,2021-06-15 02:17:00 AEST,2021-06-15,02:17:00,+1000,265941526,streetsmarts111,Big Vinney,,"@piersmorgan You can’t reason with anti vax idiots @zubymusic is an example, he blocked me coz he couldn’t bear to hear the truth",en,"[{'screen_name': 'zubymusic', 'name': 'zuby:', 'id': '57441414'}]",[],[],0,0,0,[],[],https://twitter.com/StreetSmarts111/status/1404472952737861633,False,,0,,,,,,,,"[{'screen_name': 'piersmorgan', 'name': 'Piers Morgan', 'id': '216299334'}]",,,,
1404401175886135307,1404004693185994758,2021-06-14 21:31:47 AEST,2021-06-14,21:31:47,+1000,26168990,snapper8,Snapper2061,,@goodfoodgal Guess you’re one of the anti vax mob,en,[],[],[],0,0,0,[],[],https://twitter.com/snapper8/status/1404401175886135307,False,,0,,,,,,,,"[{'screen_name': 'goodfoodgal', 'name': 'Melinda Richards 🇦🇺🇺🇸', 'id': '3000964616'}]",,,,
