id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406479214585413643,1406432064270868486,2021-06-20 15:09:10 AEST,2021-06-20,15:09:10,+1000,1296663432222015488,josh_will_au,Josh,,@cameronwilson Most of the anti vax nutters are actually anti government as opposed to be anti Morrison. They attack state health departments (both sides) also.,en,[],[],[],0,0,0,[],[],https://twitter.com/Josh_Will_au/status/1406479214585413643,False,,0,,,,,,,,"[{'screen_name': 'cameronwilson', 'name': 'CAMERONWILSON POSTING HIS Ws', 'id': '15055120'}]",,,,
1406432291820236804,1406432291820236804,2021-06-20 12:02:43 AEST,2021-06-20,12:02:43,+1000,17703690,tito_ambyo,Tito Ambyo,,someone in an anti vax group I follow has just recommended mulled wine to cure anything and tbh I’m about 33% converted to their cause now,en,[],[],[],2,0,16,[],[],https://twitter.com/Tito_Ambyo/status/1406432291820236804,False,,0,,,,,,,,[],,,,
1406400069222342660,1406384476783972355,2021-06-20 09:54:40 AEST,2021-06-20,09:54:40,+1000,1310883636900634625,bortsjenny,jenny borts,,@Smlst1 @xskinn @RonniSalt @BelindaJones68 @MikeCarlton01 Clive Palmer sent an anti vax letter to our area earlier this year. I notified my local member Dr Katie Allen. She thanked me for the notification.,en,[],[],[],1,3,13,[],[],https://twitter.com/BortsJenny/status/1406400069222342660,False,,0,,,,,,,,"[{'screen_name': 'Smlst1', 'name': '💧SML', 'id': '490179677'}, {'screen_name': 'xskinn', 'name': 'Ian Graves', 'id': '345275528'}, {'screen_name': 'RonniSalt', 'name': '🕯 RonniSalt 🕯', 'id': '2615581908'}, {'screen_name': 'BelindaJones68', 'name': '💧🔥🐨Bee🐝🐀PM for Sewer Rats', 'id': '60779696'}, {'screen_name': 'MikeCarlton01', 'name': 'Mike Carlton', 'id': '160856325'}]",,,,
1406182722687553537,1406089493552066561,2021-06-19 19:31:01 AEST,2021-06-19,19:31:01,+1000,2593940774,shandebarc1,💧Mimama 🦋 Victorian Australian 🐀,,"@Danieldfc00 @SquizzSTK @NickMcCallum7 Apart from Sky watchers, HeraldSun readers, 3AW listeners, Facebook anti vax nutters and the hapless LNP, Victorians are so fed up with snarky media.  I’ll just leave this here:  https://t.co/MVWxskgqaQ",en,[],[],['https://pbs.twimg.com/media/E4PDueIVIAMmhOv.jpg'],1,0,5,[],[],https://twitter.com/shandebarc1/status/1406182722687553537,False,,1,https://pbs.twimg.com/media/E4PDueIVIAMmhOv.jpg,,,,,,,"[{'screen_name': 'Danieldfc00', 'name': 'Daniel 🐀 #SewerRat #JabOne💉', 'id': '2849373781'}, {'screen_name': 'SquizzSTK', 'name': 'Squizz', 'id': '79402753'}, {'screen_name': 'NickMcCallum7', 'name': 'NickMcCallum7', 'id': '397782791'}]",,,,
1406085956784955399,1406001874088599552,2021-06-19 13:06:30 AEST,2021-06-19,13:06:30,+1000,338211056,shainaisaacs,Joanne Reid,,"@13slong @MelissaLDavey @MFWitches These comparisons don’t make sense. You have control over smoking, driving, etc. Cannot control the action of a drug once it’s in your body. People have the right to decide what enters their body. Government and media furore has contributed to this mess. No I am not anti vax",en,[],[],[],4,0,6,[],[],https://twitter.com/ShainaIsaacs/status/1406085956784955399,False,,0,,,,,,,,"[{'screen_name': '13slong', 'name': 'Susan Long', 'id': '25034137'}, {'screen_name': 'MelissaLDavey', 'name': 'Melissa Davey', 'id': '289732005'}, {'screen_name': 'MFWitches', 'name': 'MFW', 'id': '2277445532'}]",,,,
1406073631742971907,1406033706070863873,2021-06-19 12:17:32 AEST,2021-06-19,12:17:32,+1000,144085944,footyfied,Civilizedbeast,,@ProudOldSoldier Does this make the govt anti vax?,en,[],[],[],0,0,0,[],[],https://twitter.com/Footyfied/status/1406073631742971907,False,,0,,,,,,,,"[{'screen_name': 'ProudOldSoldier', 'name': 'Proud Old Soldier', 'id': '1401010461080842245'}]",,,,
1406001664033624066,1405752946642415630,2021-06-19 07:31:33 AEST,2021-06-19,07:31:33,+1000,985246666016997376,mischatay,Michelle Taylor,,"@sexenheimer That cop is fantastic-calm, reasonable, respectful. The anti- vax people come across as aggressive, unreasonable and downright crazy.  Love it when he tells them he's already had the vaccine!",en,[],[],[],1,1,31,[],[],https://twitter.com/Mischatay/status/1406001664033624066,False,,0,,,,,,,,"[{'screen_name': 'sexenheimer', 'name': 'cam smith', 'id': '22246333'}]",,,,
1405772200829804546,1405752946642415630,2021-06-18 16:19:45 AEST,2021-06-18,16:19:45,+1000,169828808,elainecarbines,Elaine Carbines AM,,@sexenheimer I’m sorry this is happening in my home town and that @BarwonHealth employees are being abused by these anti vax protestors. Top marks to this policeman who kept his cool dealing with them!,en,"[{'screen_name': 'barwonhealth', 'name': 'barwon health', 'id': '119917511'}]",[],[],3,2,47,[],[],https://twitter.com/elainecarbines/status/1405772200829804546,False,,0,,,,,,,,"[{'screen_name': 'sexenheimer', 'name': 'cam smith', 'id': '22246333'}]",,,,
1405675686963019777,1405615874816372738,2021-06-18 09:56:14 AEST,2021-06-18,09:56:14,+1000,192875624,jclarke0408,jason,,@nhojdier @jennaappleton @PrincessMattie1 Long covid. Please show me a victim who isn’t morbidly obese. If it makes you feel better you can say I’m anti vax or call me what ever makes you feel better. 2% is a stretch buddy. When CHO’s are declaring deaths covid when clearly not. We have an issue.,en,[],[],[],2,0,0,[],[],https://twitter.com/jclarke0408/status/1405675686963019777,False,,0,,,,,,,,"[{'screen_name': 'nhojdier', 'name': 'John Reid', 'id': '104093340'}, {'screen_name': 'jennaappleton', 'name': 'natural hermit with family in my space', 'id': '16306346'}, {'screen_name': 'PrincessMattie1', 'name': 'Mattie', 'id': '232963603'}]",,,,
1405669748734447616,1405615874816372738,2021-06-18 09:32:38 AEST,2021-06-18,09:32:38,+1000,192875624,jclarke0408,jason,,@nhojdier @jennaappleton @PrincessMattie1 please give me your expertise on MRNA vaccines I doubt you have any. I’m not anti vax as my family and I have had all necessary vaccinations. These vaccines went through rigorous testing over many years this rushed and the illness is not bad to majority of population.,en,[],[],[],1,0,0,[],[],https://twitter.com/jclarke0408/status/1405669748734447616,False,,0,,,,,,,,"[{'screen_name': 'nhojdier', 'name': 'John Reid', 'id': '104093340'}, {'screen_name': 'jennaappleton', 'name': 'natural hermit with family in my space', 'id': '16306346'}, {'screen_name': 'PrincessMattie1', 'name': 'Mattie', 'id': '232963603'}]",,,,
